station_id,docks
72,53
79,27
82,24
83,61
116,49
119,52
120,15
127,31
128,54
143,48
144,58
146,55
150,54
151,26
152,47
153,59
157,23
161,33
164,75
168,42
173,0
174,35
212,59
216,36
217,38
223,31
224,31
228,54
229,21
232,49
236,44
238,26
239,30
241,18
242,43
244,48
245,78
247,76
248,91
249,26
250,37
251,23
252,32
254,47
257,77
258,21
259,36
260,33
261,41
262,22
264,24
265,30
266,30
267,75
268,25
270,27
274,29
275,15
276,24
278,18
281,19
282,24
284,46
285,75
289,19
291,19
293,83
295,24
297,75
298,34
301,57
302,35
303,64
304,15
305,27
307,31
308,47
309,40
310,65
311,22
312,31
313,53
315,26
316,42
317,65
319,26
320,53
321,38
323,39
324,74
325,31
326,36
327,35
328,34
330,40
331,26
332,35
334,41
335,23
336,0
340,25
341,19
342,27
343,23
344,18
346,26
347,52
349,55
350,45
353,25
354,61
355,36
356,21
358,21
359,68
360,34
361,72
362,52
363,47
364,23
366,29
367,0
368,45
369,76
372,24
373,17
376,39
377,47
379,43
380,40
383,35
385,26
386,80
387,21
388,31
389,24
390,46
391,40
392,32
393,34
394,32
396,22
397,12
398,34
399,38
400,13
401,41
403,55
405,40
406,19
408,43
410,78
411,30
412,24
415,44
416,26
417,24
418,37
419,23
420,50
421,19
422,75
423,25
426,28
427,45
428,38
432,29
434,54
435,45
436,24
437,21
438,41
439,39
440,29
442,47
443,23
445,78
446,72
447,28
448,25
450,66
453,62
454,33
455,53
456,18
457,72
458,29
460,22
461,51
462,72
464,44
465,38
466,33
468,73
469,3
470,80
471,27
472,51
473,61
474,55
476,1
477,66
478,32
479,26
480,26
481,22
482,78
483,47
484,9
485,36
486,39
487,32
489,45
490,63
492,63
494,62
495,37
496,61
497,56
499,3
500,24
501,79
502,34
503,27
504,51
505,44
507,78
508,24
509,60
510,51
511,28
512,26
513,28
514,46
515,75
516,42
517,65
519,48
522,46
525,53
526,38
528,36
529,40
530,20
531,61
532,29
536,27
537,0
539,31
540,52
545,26
546,44
2000,52
2002,52
2003,49
2005,7
2006,44
2008,9
2009,30
2010,58
2012,24
2021,62
2022,29
3016,53
3041,22
3042,12
3043,18
3044,26
3046,19
3047,16
3048,19
3049,16
3050,19
3052,22
3053,21
3054,19
3055,21
3056,18
3057,18
3058,20
3059,18
3060,19
3061,18
3062,21
3063,17
3064,22
3065,28
3066,17
3067,27
3068,40
3069,26
3070,22
3071,18
3072,24
3074,41
3075,32
3076,34
3077,32
3078,22
3080,17
3081,29
3082,23
3083,29
3085,21
3086,25
3087,29
3088,18
3092,26
3093,27
3094,17
3095,26
3096,39
3100,49
3101,22
3102,25
3105,52
3106,42
3107,37
3108,44
3109,28
3110,25
3112,29
3113,25
3115,45
3116,33
3117,26
3118,35
3119,41
3121,27
3122,79
3123,44
3124,43
3125,23
3126,34
3127,33
3128,26
3129,34
3130,33
3131,35
3132,33
3134,46
3135,39
3136,47
3137,19
3139,36
3140,57
3141,41
3142,43
3143,38
3144,43
3145,38
3146,38
3147,29
3148,28
3150,44
3151,45
3152,42
3154,43
3156,35
3157,24
3158,31
3159,30
3160,38
3161,53
3163,40
3164,52
3165,0
3166,40
3167,49
3169,72
3170,34
3171,37
3172,27
3173,77
3175,42
3177,60
3178,77
3179,20
3184,13
3185,21
3186,37
3187,20
3191,16
3192,22
3193,16
3194,21
3195,32
3196,18
3198,18
3199,13
3201,18
3202,18
3203,25
3205,18
3206,23
3207,26
3209,21
3210,18
3211,22
3212,22
3213,19
3214,19
3220,18
3221,26
3225,14
3226,40
3231,37
3232,47
3233,34
3235,30
3236,30
3241,19
3242,59
3243,26
3244,75
3246,48
3249,18
3254,18
3255,15
3256,20
3260,35
3263,51
3267,11
3268,14
3269,14
3270,14
3272,13
3273,17
3275,13
3276,23
3277,14
3278,14
3279,18
3280,13
3281,13
3283,41
3284,28
3285,41
3286,35
3287,43
3288,32
3289,29
3290,32
3292,32
3293,22
3294,33
3296,67
3297,20
3298,29
3299,23
3300,23
3301,33
3302,34
3303,35
3304,27
3305,66
3306,23
3307,31
3308,26
3309,27
3310,24
3311,20
3312,33
3313,28
3314,27
3315,22
3317,24
3318,37
3319,18
3321,37
3322,25
3323,53
3324,25
3325,29
3326,21
3327,23
3328,27
3329,27
3330,19
3331,51
3332,27
3333,37
3335,28
3336,38
3337,23
3338,26
3339,40
3340,20
3342,23
3343,19
3344,37
3345,31
3346,29
3347,34
3348,31
3349,34
3350,35
3351,19
3352,21
3354,29
3355,24
3356,20
3357,27
3358,23
3359,55
3360,46
3361,23
3362,27
3363,28
3364,27
3365,26
3366,31
3367,32
3368,30
3369,28
3370,24
3372,76
3373,78
3374,33
3375,34
3376,46
3377,23
3378,13
3379,0
3381,52
3382,40
3383,23
3384,20
3386,33
3387,21
3388,24
3389,38
3390,22
3391,24
3392,19
3393,19
3394,20
3395,19
3396,25
3397,31
3398,22
3399,24
3400,21
3402,32
3403,30
3404,27
3405,22
3407,34
3409,48
3410,76
3411,26
3412,18
3414,31
3415,23
3416,23
3417,27
3418,29
3419,50
3420,32
3421,35
3422,20
3423,28
3424,0
3425,32
3429,36
3430,25
3435,41
3436,30
3437,55
3440,47
3443,40
3452,43
3453,19
3454,24
3456,21
