station_id,neighborhood
72,Chelsea and Clinton
79,Lower Manhattan
82,Lower Manhattan
83,East New York and New Lots
116,Chelsea and Clinton
120,Bushwick and Williamsburg
127,Greenwich Village and Soho
128,Greenwich Village and Soho
143,Northwest Brooklyn
146,Greenwich Village and Soho
150,Lower East Side
151,Greenwich Village and Soho
157,Northwest Brooklyn
161,Lower East Side
164,Gramercy Park and Murray Hill
167,Gramercy Park and Murray Hill
167,Gramercy Park and Murray Hill
168,Chelsea and Clinton
173,Chelsea and Clinton
174,Gramercy Park and Murray Hill
195,Lower Manhattan
212,Chelsea and Clinton
216,Northwest Brooklyn
217,Northwest Brooklyn
223,Chelsea and Clinton
224,Lower Manhattan
228,Gramercy Park and Murray Hill
229,Greenwich Village and Soho
236,Lower East Side
237,Lower East Side
238,Greenwich Village and Soho
239,Northwest Brooklyn
241,Bushwick and Williamsburg
242,Central Brooklyn
243,East New York and New Lots
243,East New York and New Lots
244,Northwest Brooklyn
245,Bushwick and Williamsburg
247,Greenwich Village and Soho
248,Greenwich Village and Soho
249,Greenwich Village and Soho
250,Greenwich Village and Soho
251,Greenwich Village and Soho
251,Greenwich Village and Soho
252,Chelsea and Clinton
254,Greenwich Village and Soho
257,Greenwich Village and Soho
258,Bushwick and Williamsburg
259,Lower Manhattan
260,Lower Manhattan
261,Northwest Brooklyn
262,Northwest Brooklyn
264,Lower Manhattan
265,Greenwich Village and Soho
266,Lower East Side
267,Chelsea and Clinton
267,Chelsea and Clinton
268,Greenwich Village and Soho
270,Central Brooklyn
274,Bushwick and Williamsburg
275,Central Brooklyn
276,Lower Manhattan
278,Northwest Brooklyn
279,Lower Manhattan
280,Lower East Side
281,Chelsea and Clinton
284,Greenwich Village and Soho
285,Lower East Side
289,Bushwick and Williamsburg
291,Lower East Side
293,Lower East Side
293,Lower East Side
295,Lower East Side
296,Lower East Side
297,Lower East Side
297,Lower East Side
301,Lower East Side
302,Lower East Side
303,Greenwich Village and Soho
305,Gramercy Park and Murray Hill
305,Gramercy Park and Murray Hill
307,Lower East Side
308,Lower Manhattan
309,Tribeca
310,East New York and New Lots
311,Lower East Side
312,Lower East Side
313,Central Brooklyn
314,Northwest Brooklyn
316,Lower East Side
316,Lower Manhattan
317,Lower East Side
319,Lower Manhattan
320,Greenwich Village and Soho
321,Northwest Brooklyn
323,Northwest Brooklyn
324,Bushwick and Williamsburg
325,Lower East Side
326,Lower East Side
327,Tribeca
327,Tribeca
328,Lower Manhattan
330,Greenwich Village and Soho
331,Lower East Side
332,Lower East Side
334,Chelsea and Clinton
335,Greenwich Village and Soho
335,Lower East Side
336,Lower East Side
337,Lower Manhattan
339,Lower East Side
340,Lower East Side
341,Lower East Side
342,Lower East Side
343,Northwest Brooklyn
344,Bushwick and Williamsburg
346,Greenwich Village and Soho
346,Greenwich Village and Soho
347,Greenwich Village and Soho
349,Lower East Side
350,Lower East Side
353,Northwest Brooklyn
354,Northwest Brooklyn
355,Greenwich Village and Soho
356,Lower East Side
357,Lower East Side
358,Greenwich Village and Soho
358,Greenwich Village and Soho
359,Gramercy Park and Murray Hill
361,Lower East Side
361,Lower East Side
362,Chelsea and Clinton
362,Chelsea and Clinton
363,Lower Manhattan
364,Bushwick and Williamsburg
365,East New York and New Lots
366,Northwest Brooklyn
367,Gramercy Park and Murray Hill
368,Greenwich Village and Soho
369,Chelsea and Clinton
372,Flatbush
373,Northwest Brooklyn
376,Lower Manhattan
377,Lower Manhattan
379,Chelsea and Clinton
380,Greenwich Village and Soho
382,Lower East Side
383,Greenwich Village and Soho
385,Gramercy Park and Murray Hill
388,Chelsea and Clinton
389,East New York and New Lots
390,Northwest Brooklyn
391,Northwest Brooklyn
391,Northwest Brooklyn
392,Northwest Brooklyn
393,Lower East Side
394,Lower East Side
