Year,Month,Day,Hour,max_temp,min_temp,temp,wind_chill,heat_index,precipitation,snow,snow_depth,wind_speed,wind_direction,wind_gust,visibility,cloud_cover,relative_humidity,conditions
2019,1,1,0,48.7,48.7,48.7,47.9,0,0.15,0,0,3.4,110,0,6.6,52.9,96.62,"Rain, Partially cloudy"
2019,1,1,1,49.8,49.8,49.8,48.3,0,0.03,0,0,4.6,271,0,9.6,52.9,95.79,"Rain, Partially cloudy"
2019,1,1,2,50,50,50,47.8,0,0.03,0,0,5.8,259,0,8.6,52.7,95.69,"Rain, Partially cloudy"
2019,1,1,3,51.2,51.2,51.2,0,0,0,0,0,9.2,279,0,6.1,52.9,99.73,Partially cloudy
2019,1,1,4,50.1,50.1,50.1,0,0,0.01,0,0,13.9,270,17.2,3.1,52.5,95.71,"Rain, Partially cloudy"
2019,1,1,5,53.1,53.1,53.1,0,0,0,0,0,12.8,270,25.3,9.7,52.9,96.31,Partially cloudy
2019,1,1,6,54,54,54,0,0,0,0,0,17.1,270,25.3,9.9,52.5,96.6,Partially cloudy
2019,1,1,7,55.2,55.2,55.2,0,0,0.18,0,0,18.3,270,27.7,9.9,0.8,92.28,Rain
2019,1,1,8,55.3,55.3,55.3,0,0,0,0,0,12.9,270,31.8,9.9,30.4,88.93,Partially cloudy
2019,1,1,9,57,57,57,0,0,0,0,0,16.2,270,24.4,9.9,50.3,83.35,Partially cloudy
2019,1,1,10,57,57,57,0,0,0,0,0,14,280,28.8,9.9,46,73.77,Partially cloudy
2019,1,1,11,57,57,57,0,0,0.02,0,0,10.5,290,35.7,9.9,44.4,66.61,"Rain, Partially cloudy"
2019,1,1,12,56.9,56.9,56.9,0,0,0,0,0,8.3,330,44.6,9.9,47.9,50.91,Partially cloudy
2019,1,1,13,56.8,56.8,56.8,0,0,0.02,0,0,7.2,281,43.2,9.9,0.5,47.44,Rain
2019,1,1,14,56.6,56.6,56.6,0,0,0,0,0,8.3,300,30.5,9.9,30.2,47.77,Partially cloudy
2019,1,1,15,51.9,51.9,51.9,0,0,0,0,0,8.3,300,40.8,9.9,51.7,52.12,Partially cloudy
2019,1,1,16,48.7,48.7,48.7,46.1,0,0,0,0,6.2,320,33.6,9.9,49.6,54.36,Partially cloudy
2019,1,1,17,46.9,46.9,46.9,44.6,0,0.01,0,0,5,330,36.7,9.9,30.7,55.52,"Rain, Partially cloudy"
2019,1,1,18,46,46,46,43.6,0,0,0,0,4.9,310,33.3,9.9,4.5,57.59,Clear
2019,1,1,19,44.9,44.9,44.9,43.4,0,0,0,0,3.6,310,31.1,9.9,50,60.09,Partially cloudy
2019,1,1,20,44.9,44.9,44.9,0,0,0,0,0,0.2,359,21.9,9.9,44.1,60.15,Partially cloudy
2019,1,1,21,44,44,44,42.4,0,0,0,0,3.5,330,0,9.9,47.9,57.12,Partially cloudy
2019,1,1,22,44,44,44,0,0,0,0,0,0.2,359,0,9.9,49.3,55.14,Partially cloudy
2019,1,1,23,43,43,43,41.2,0,0,0,0,3.5,320,21.9,9.9,31.5,50.92,Partially cloudy
2019,1,2,0,41,41,41,38.8,0,0,0,0,3.6,330,0,9.9,30.7,53.01,Partially cloudy
2019,1,2,1,39.8,39.8,39.8,36.4,0,0,0,0,4.8,330,0,9.9,0.8,55.4,Clear
2019,1,2,2,39.7,39.7,39.7,35.5,0,0,0,0,5.9,271,0,9.9,1.4,55.42,Clear
2019,1,2,3,38.8,38.8,38.8,36.4,0,0,0,0,3.5,320,0,9.9,1.4,59.42,Clear
2019,1,2,4,38,38,38,0,0,0,0,0,0.2,359,19.7,9.9,1.4,58.89,Clear
2019,1,2,5,37.9,37.9,37.9,0,0,0,0,0,0.1,360,0,9.9,1.4,59.03,Clear
2019,1,2,6,37.9,37.9,37.9,0,0,0,0,0,0.1,1,0,9.9,1.4,59.07,Clear
2019,1,2,7,37,37,37,33.2,0,0,0,0,4.8,30,0,9.9,0.8,61.07,Clear
2019,1,2,8,37,37,37,31.6,0,0,0,0,7,40,0,9.9,0.9,61.1,Clear
2019,1,2,9,38.8,38.8,38.8,33,0,0,0,0,8.1,50,0,9.9,26.8,64.51,Partially cloudy
2019,1,2,10,38.8,38.8,38.8,33.7,0,0,0,0,7,70,0,9.9,1.5,61.43,Clear
2019,1,2,11,38.8,38.8,38.8,33.1,0,0,0,0,8,40,0,9.9,48.7,59.2,Partially cloudy
2019,1,2,12,41.9,41.9,41.9,37.5,0,0,0,0,7,50,0,9.9,26.8,50.44,Partially cloudy
2019,1,2,13,41.9,41.9,41.9,40.1,0,0,0,0,3.4,80,0,9.9,0.9,48.61,Clear
2019,1,2,14,40.9,40.9,40.9,36.9,0,0,0,0,5.8,262,0,9.9,0.9,50.79,Clear
2019,1,2,15,39.8,39.8,39.8,34.9,0,0,0,0,6.9,242,0,9.9,0.9,59.13,Clear
2019,1,2,16,38.9,38.9,38.9,33.2,0,0,0,0,8,180,0,9.9,2.9,59.22,Clear
2019,1,2,17,38,38,38,33.5,0,0,0,0,5.9,130,0,8.8,50.1,63.53,Partially cloudy
2019,1,2,18,38,38,38,33.5,0,0,0,0,5.9,170,0,9.9,52.7,63.53,Partially cloudy
2019,1,2,19,38,38,38,33.4,0,0,0,0,5.9,130,0,9.9,52.9,61.34,Partially cloudy
2019,1,2,20,38,38,38,31.5,0,0,0,0,9.2,150,0,9.9,52.9,63.49,Partially cloudy
2019,1,2,21,38.9,38.9,38.9,33.8,0,0,0,0,7,160,0,9.9,52.9,61.41,Partially cloudy
2019,1,2,22,39.7,39.7,39.7,34.9,0,0,0,0,7,140,0,9.9,52.9,64.65,Partially cloudy
2019,1,2,23,39.8,39.8,39.8,34.3,0,0,0,0,8.1,180,0,9.9,52.2,67.09,Partially cloudy
2019,1,3,0,41,41,41,37.8,0,0,0,0,4.8,160,0,9.9,45.5,69.86,Partially cloudy
2019,1,3,1,40.9,40.9,40.9,36.3,0,0,0,0,6.9,160,0,9.9,45.5,76.2,Partially cloudy
2019,1,3,2,41,41,41,37.8,0,0,0,0,4.7,140,0,9.9,15.2,79.2,Clear
2019,1,3,3,42,42,42,40.2,0,0,0,0,3.4,100,0,9.9,51.9,78.77,Partially cloudy
2019,1,3,4,42.1,42.1,42.1,39.2,0,0,0,0,4.7,150,0,9.9,52.4,78.57,Partially cloudy
2019,1,3,5,43,43,43,0,0,0,0,0,0.1,355,0,9.9,52.9,79.35,Partially cloudy
2019,1,3,6,44,44,44,41.5,0,0,0,0,4.6,261,0,9.9,52.4,79.03,Partially cloudy
2019,1,3,7,44.1,44.1,44.1,39.5,0,0,0,0,8.1,269,0,9.9,52.9,81.83,Partially cloudy
2019,1,3,8,43.1,43.1,43.1,36.5,0,0,0,0,12.8,270,20.8,9.9,46.6,81.94,Partially cloudy
2019,1,3,9,43.1,43.1,43.1,38.3,0,0,0,0,8.1,270,20.8,9.9,46.6,81.83,Partially cloudy
